,NAME,STATUS,SHOT,SEQ,REEL
373,Paint,In progress,SHOT_040,000,000
374,Rendering,Completed,SHOT_040,000,000
375,Rendering,In progress,SHOT_041,000,000
376,Rendering,In progress,SHOT_042,000,000
377,Rendering,In progress,SHOT_043,000,000
378,Paint,Completed,SHOT_021,000,000
379,Paint,Completed,SHOT_022,000,000
380,Paint,Completed,SHOT_023,000,000
381,Paint,Completed,SHOT_024,000,000
382,Paint,Completed,SHOT_025,000,000
383,Paint,Completed,SHOT_026,000,000
384,Paint,Completed,SHOT_027,000,000
385,Paint,Completed,SHOT_028,000,000
386,Paint,Completed,SHOT_029,000,000
387,Paint,Completed,SHOT_030,000,000
388,Paint,Completed,SHOT_031,000,000
389,Rendering,Completed,SHOT_031,000,000
390,Paint,Completed,SHOT_032,000,000
391,Paint,Completed,SHOT_034,000,000
392,Rendering,Completed,SHOT_034,000,000
393,Paint,Completed,SHOT_035,000,000
394,Animation,Ready to Start,SHOT_180,450,450
395,Layout,Completed,SHOT_180,450,450
396,Layout,In progress,SHOT_792,820,820
397,Layout,In progress,SHOT_793,820,820
398,Animation,Ready to Start,SHOT_060,360,360
399,Layout,Completed,SHOT_060,360,360
400,Hair and Fur,Completed,SHOT_301,180,180
401,Animation,Approved,SHOT_301,180,180
402,Lookdev,Ready to Start,SHOT_301,180,180
403,Cloth,Completed,SHOT_301,180,180
404,Baking,Completed,SHOT_301,180,180
405,Compositing,Pending Review,SHOT_378,070,070
406,Paint,Completed,SHOT_378,070,070
407,Rendering,In progress,SHOT_378,070,070
408,Animation,Approved,SHOT_378,070,070
409,Lookdev,Approved,SHOT_378,070,070
410,Baking,Completed,SHOT_378,070,070
411,Layout,Ready to Start,SHOT_118,820,820
412,Layout,Ready to Start,SHOT_119,820,820
413,Layout,In progress,SHOT_120,820,820
414,Layout,Ready to Start,SHOT_002,820,820
415,FTP,Completed,SHOT_010,560,560
416,Layout,Ready to Start,SHOT_121,820,820
417,Layout,Ready to Start,SHOT_122,820,820
418,Layout,Ready to Start,SHOT_123,820,820
419,Layout,Ready to Start,SHOT_124,820,820
420,Layout,Ready to Start,SHOT_125,820,820
421,Layout,Ready to Start,SHOT_126,820,820
422,Layout,Ready to Start,SHOT_127,820,820
423,Layout,Ready to Start,SHOT_128,820,820
424,Layout,Ready to Start,SHOT_129,820,820
425,Layout,In progress,SHOT_130,820,820
426,Layout,In progress,SHOT_011,590,590
427,Hair and Fur,Completed,SHOT_380,070,070
428,Compositing,Pending Review,SHOT_380,070,070
429,Paint,Completed,SHOT_380,070,070
430,Animation,Approved,SHOT_380,070,070
431,Lookdev,Ready to Start,SHOT_380,070,070
432,Cloth,Completed,SHOT_380,070,070
433,Baking,Completed,SHOT_380,070,070
434,Layout,In progress,SHOT_640,310,310
435,Layout,In progress,SHOT_570,310,310
436,Animation,In progress,SHOT_100,230,230
437,fx,Completed,SHOT_010,050,050
438,Layout,In progress,SHOT_261,820,820
439,Animation,Ready to Start,SHOT_030,650,650
440,Layout,Completed,SHOT_030,650,650
441,Layout,In progress,SHOT_150,730,730
442,Layout,In progress,SHOT_262,820,820
443,Layout,In progress,SHOT_263,820,820
444,Animation,Ready to Start,SHOT_190,450,450
445,Layout,Completed,SHOT_190,450,450
446,Layout,In progress,SHOT_055,610,610
447,fx,On Hold,SHOT_031,221,221
448,Layout,In progress,SHOT_080,590,590
449,Layout,In progress,SHOT_791,820,820
450,Paint,Completed,SHOT_020,330,330
451,Lookdev,In progress,SHOT_020,330,330
